path,label,npy_path
data/Gesture02/0041.MP4,Gesture02,mp_landmarks/data_Gesture02_0041.MP4.npy
data/class_2/class_2_016.mp4,class_2,mp_landmarks/data_class_2_class_2_016.mp4.npy
data/geste_2/20023.mp4,geste_2,mp_landmarks/data_geste_2_20023.mp4.npy
data/ok_sign/WIN_20260427_17_20_51_Pro.mp4,ok_sign,mp_landmarks/data_ok_sign_WIN_20260427_17_20_51_Pro.mp4.npy
data/ok_sign/WIN_20260427_17_16_52_Pro.mp4,ok_sign,mp_landmarks/data_ok_sign_WIN_20260427_17_16_52_Pro.mp4.npy
data/geste_2/20037.mp4,geste_2,mp_landmarks/data_geste_2_20037.mp4.npy
data/class_1/class_1_024.mp4,class_1,mp_landmarks/data_class_1_class_1_024.mp4.npy
data/Gesture01/0004.MP4,Gesture01,mp_landmarks/data_Gesture01_0004.MP4.npy
data/class_1/class_1_038.mp4,class_1,mp_landmarks/data_class_1_class_1_038.mp4.npy
data/hand_turn/WIN_20260427_17_19_18_Pro.mp4,hand_turn,mp_landmarks/data_hand_turn_WIN_20260427_17_19_18_Pro.mp4.npy
data/geste_1/10010.mp4,geste_1,mp_landmarks/data_geste_1_10010.mp4.npy
data/Gesture02/0054.MP4,Gesture02,mp_landmarks/data_Gesture02_0054.MP4.npy
data/geste_2/20017.mp4,geste_2,mp_landmarks/data_geste_2_20017.mp4.npy
data/ok_sign/WIN_20260427_17_21_23_Pro.mp4,ok_sign,mp_landmarks/data_ok_sign_WIN_20260427_17_21_23_Pro.mp4.npy
data/geste_0/00010.mp4,geste_0,mp_landmarks/data_geste_0_00010.mp4.npy
data/geste_1/10017.mp4,geste_1,mp_landmarks/data_geste_1_10017.mp4.npy
data/ok_sign/WIN_20260427_17_15_59_Pro.mp4,ok_sign,mp_landmarks/data_ok_sign_WIN_20260427_17_15_59_Pro.mp4.npy
data/geste_0/00026.mp4,geste_0,mp_landmarks/data_geste_0_00026.mp4.npy
data/class_2/class_2_029.mp4,class_2,mp_landmarks/data_class_2_class_2_029.mp4.npy
data/thumb_up/WIN_20260427_17_23_22_Pro.mp4,thumb_up,mp_landmarks/data_thumb_up_WIN_20260427_17_23_22_Pro.mp4.npy
data/Gesture02/0057.MP4,Gesture02,mp_landmarks/data_Gesture02_0057.MP4.npy
data/geste_0/00014.mp4,geste_0,mp_landmarks/data_geste_0_00014.mp4.npy
data/class_2/class_2_011.mp4,class_2,mp_landmarks/data_class_2_class_2_011.mp4.npy
data/geste_1/10027.mp4,geste_1,mp_landmarks/data_geste_1_10027.mp4.npy
data/geste_0/00044.mp4,geste_0,mp_landmarks/data_geste_0_00044.mp4.npy
data/thumb_up/WIN_20260427_17_22_49_Pro.mp4,thumb_up,mp_landmarks/data_thumb_up_WIN_20260427_17_22_49_Pro.mp4.npy
data/Gesture02/0043.MP4,Gesture02,mp_landmarks/data_Gesture02_0043.MP4.npy
data/Gesture01/0003.MP4,Gesture01,mp_landmarks/data_Gesture01_0003.MP4.npy
data/hand_turn/WIN_20260427_17_13_26_Pro.mp4,hand_turn,mp_landmarks/data_hand_turn_WIN_20260427_17_13_26_Pro.mp4.npy
data/Gesture01/0023.MP4,Gesture01,mp_landmarks/data_Gesture01_0023.MP4.npy
data/geste_2/20038.mp4,geste_2,mp_landmarks/data_geste_2_20038.mp4.npy
data/class_1/class_1_033.mp4,class_1,mp_landmarks/data_class_1_class_1_033.mp4.npy
data/class_2/class_2_004.mp4,class_2,mp_landmarks/data_class_2_class_2_004.mp4.npy
data/hand_turn/WIN_20260427_17_12_04_Pro.mp4,hand_turn,mp_landmarks/data_hand_turn_WIN_20260427_17_12_04_Pro.mp4.npy
data/class_1/class_1_012.mp4,class_1,mp_landmarks/data_class_1_class_1_012.mp4.npy
data/hand_turn/WIN_20260427_17_19_31_Pro.mp4,hand_turn,mp_landmarks/data_hand_turn_WIN_20260427_17_19_31_Pro.mp4.npy
data/class_2/class_2_010.mp4,class_2,mp_landmarks/data_class_2_class_2_010.mp4.npy
data/geste_0/00013.mp4,geste_0,mp_landmarks/data_geste_0_00013.mp4.npy
data/ok_sign/WIN_20260427_17_15_41_Pro.mp4,ok_sign,mp_landmarks/data_ok_sign_WIN_20260427_17_15_41_Pro.mp4.npy
data/Gesture01/0024.MP4,Gesture01,mp_landmarks/data_Gesture01_0024.MP4.npy
data/geste_1/10015.mp4,geste_1,mp_landmarks/data_geste_1_10015.mp4.npy
data/class_2/class_2_017.mp4,class_2,mp_landmarks/data_class_2_class_2_017.mp4.npy
data/class_2/class_2_033.mp4,class_2,mp_landmarks/data_class_2_class_2_033.mp4.npy
data/geste_1/10012.mp4,geste_1,mp_landmarks/data_geste_1_10012.mp4.npy
