path,label
data/geste_0/00008.mp4,geste_0
data/geste_1/10039.mp4,geste_1
data/geste_2/20031.mp4,geste_2
data/geste_0/00028.mp4,geste_0
data/geste_1/10022.mp4,geste_1
data/geste_0/00036.mp4,geste_0
data/geste_1/10003.mp4,geste_1
data/geste_1/10049.mp4,geste_1
data/geste_2/20050.mp4,geste_2
data/geste_1/10015.mp4,geste_1
data/geste_0/00051.mp4,geste_0
data/geste_1/10038.mp4,geste_1
data/geste_2/20004.mp4,geste_2
data/geste_2/20025.mp4,geste_2
data/geste_2/20016.mp4,geste_2
data/geste_1/10019.mp4,geste_1
data/geste_1/10046.mp4,geste_1
data/geste_0/00034.mp4,geste_0
data/geste_0/00011.mp4,geste_0
data/geste_2/20035.mp4,geste_2
data/geste_1/10001.mp4,geste_1
data/geste_0/00032.mp4,geste_0
data/geste_0/00026.mp4,geste_0
data/geste_1/10041.mp4,geste_1
data/geste_0/00052.mp4,geste_0
data/geste_1/10045.mp4,geste_1
data/geste_1/10031.mp4,geste_1
data/geste_2/20032.mp4,geste_2
data/geste_0/00019.mp4,geste_0
data/geste_2/20026.mp4,geste_2
data/geste_0/00047.mp4,geste_0
data/geste_0/00029.mp4,geste_0
data/geste_2/20014.mp4,geste_2
data/geste_1/10034.mp4,geste_1
data/geste_1/10016.mp4,geste_1
data/geste_1/10042.mp4,geste_1
data/geste_0/00035.mp4,geste_0
data/geste_1/10018.mp4,geste_1
data/geste_0/00002.mp4,geste_0
data/geste_1/10023.mp4,geste_1
data/geste_1/10048.mp4,geste_1
data/geste_2/20018.mp4,geste_2
data/geste_0/00041.mp4,geste_0
data/geste_0/00006.mp4,geste_0
data/geste_1/10032.mp4,geste_1
data/geste_0/00017.mp4,geste_0
data/geste_2/20027.mp4,geste_2
data/geste_0/00031.mp4,geste_0
data/geste_0/00045.mp4,geste_0
data/geste_2/20038.mp4,geste_2
data/geste_1/10005.mp4,geste_1
data/geste_0/00039.mp4,geste_0
data/geste_0/00015.mp4,geste_0
data/geste_0/00014.mp4,geste_0
data/geste_1/10043.mp4,geste_1
data/geste_2/20036.mp4,geste_2
data/geste_2/20001.mp4,geste_2
data/geste_2/20049.mp4,geste_2
data/geste_0/00038.mp4,geste_0
data/geste_2/20011.mp4,geste_2
data/geste_1/10025.mp4,geste_1
data/geste_1/10030.mp4,geste_1
data/geste_2/20048.mp4,geste_2
data/geste_0/00046.mp4,geste_0
data/geste_2/20044.mp4,geste_2
data/geste_1/10051.mp4,geste_1
data/geste_1/10010.mp4,geste_1
data/geste_2/20029.mp4,geste_2
data/geste_2/20019.mp4,geste_2
data/geste_1/10013.mp4,geste_1
data/geste_2/20013.mp4,geste_2
data/geste_0/00043.mp4,geste_0
data/geste_1/10033.mp4,geste_1
data/geste_0/00010.mp4,geste_0
data/geste_2/20006.mp4,geste_2
data/geste_1/10021.mp4,geste_1
data/geste_2/20020.mp4,geste_2
data/geste_1/10009.mp4,geste_1
data/geste_0/00033.mp4,geste_0
data/geste_1/10027.mp4,geste_1
data/geste_2/20046.mp4,geste_2
data/geste_0/00018.mp4,geste_0
data/geste_2/20015.mp4,geste_2
data/geste_1/10052.mp4,geste_1
data/geste_1/10011.mp4,geste_1
data/geste_2/20021.mp4,geste_2
data/geste_0/00005.mp4,geste_0
data/geste_2/20030.mp4,geste_2
data/geste_1/10029.mp4,geste_1
data/geste_1/10026.mp4,geste_1
data/geste_0/00049.mp4,geste_0
data/geste_2/20002.mp4,geste_2
data/geste_2/20045.mp4,geste_2
data/geste_0/00027.mp4,geste_0
data/geste_0/00021.mp4,geste_0
data/geste_2/20040.mp4,geste_2
data/geste_2/20047.mp4,geste_2
data/geste_2/20010.mp4,geste_2
data/geste_2/20043.mp4,geste_2
data/geste_2/20022.mp4,geste_2
data/geste_0/00048.mp4,geste_0
data/geste_2/20017.mp4,geste_2
data/geste_1/10024.mp4,geste_1
data/geste_2/20003.mp4,geste_2
data/geste_0/00013.mp4,geste_0
data/geste_0/00007.mp4,geste_0
data/geste_1/10037.mp4,geste_1
data/geste_1/10050.mp4,geste_1
data/geste_1/10012.mp4,geste_1
